student_id,student_name,attempt_id,time_begin,time_end,exercise_id,exercise_name,accuracy_std,tilt_std,pressure_std
4459861,Alex,0,20/01/2024 13:24:56,20/01/2024 13:28:24,0,letter a,6.141592,4.514239,5.485267
4459861,Alex,1,20/01/2024 13:29:01,20/01/2024 13:31:05,1,letter e,5.415925,3.141592,5.994358
4459861,Alex,2,21/01/2024 09:12:44,21/01/2024 09:15:53,0,letter a,4.672162,6.924668,6.481315
4459861,Alex,3,21/01/2024 09:16:32,21/01/2024 09:19:49,0,letter a,2.794318,7.589732,3.141592
4459861,Alex,4,21/01/2024 09:21:03,21/01/2024 09:22:48,2,heart,2.167235,5.994358,2.485267
4459861,Alex,5,24/01/2024 16:14:14,24/01/2024 16:16:14,2,heart,3.141592,1.481315,2.364892
4459861,Alex,6,25/01/2024 15:25:22,25/01/2024 15:27:18,1,letter e,2.926448,3.141592,2.794318
4459861,Alex,7,25/01/2024 15:28:57,25/01/2024 15:31:43,2,heart,2.514239,2.485267,2.589732
4459861,Alex,8,25/01/2024 15:32:20,25/01/2024 15:35:39,0,letter a,1.746682,2.364892,2.394358
4459861,Alex,9,25/01/2024 15:36:00,25/01/2024 15:38:12,1,letter e,1.924668,1.794318,1.481315
4459861,Alex,10,26/01/2024 18:02:08,26/01/2024 18:04:48,0,letter a,1.589732,2.167235,1.141592
4459861,Alex,11,29/01/2024 07:05:32,29/01/2024 07:09:55,3,letter m,0.994358,3.141592,0.831415
4459861,Alex,12,29/01/2024 07:10:12,29/01/2024 07:14:29,3,letter m,1.081315,4.926448,2.264489
4459861,Alex,13,29/01/2024 07:14:43,29/01/2024 07:18:24,3,letter m,1.481315,2.514239,2.514239
